show_id,type,title,director,cast,country,date_added,release_year,rating,genres,language,description,popularity,vote_count,vote_average
mv1013577,Movie,"""Sr.""",Chris Smith,"Robert Downey Sr., Robert Downey Jr., Chris Smith, Alan Arkin, Sean Hayes",United States of America,2022-09-02,2022,6.9,Documentary,en,"A portrait of the life and career of Robert Downey Sr. (1936-2021), the visionary and fearless US filmmaker — father of actor Robert Downey Jr. — who in the sixties and seventies laid the foundations for countercultural comedy.",7.68,57,6.9
mv41371,Movie,#1 Cheerleader Camp,Mark Quod,"Charlene Tilton, Jay Gillespie, Harmony Blossom, Hector David Jr., Erica Duke",United States of America,2010-07-27,2010,4.8,Comedy,en,A pair of horny college guys get summer jobs at a sexy cheerleader camp.,7.203,98,4.8
tv218510,TV Show,#1 Happy Family USA,,"Ramy Youssef, Alia Shawkat, Salma Hindy, Randa Jarrar, Mandy Moore",United States of America,2025-04-17,2025,0.0,"Comedy, Animation",en,"An exploration of the experiences of a Muslim-American family that must learn how to code-switch as they navigate the early 2000s: a time of fear, war, and the rapid expansion of the boy-band industrial complex.",9.677,0,0.0
tv87813,TV Show,#5règles,,Tatiana Polevoy,Canada,2018-04-17,2018,0.0,Comedy,fr,"#5RÈGLES is anything but serious instructions for becoming a better human being and living an optimal life! Each episode of this humorous but informative show tackles a theme of vital importance such as 5 rules to be the king of the party, to manage yourself during a breakup or to become a social media expert.",39.331,0,0.0
mv1090323,Movie,#AMFAD: All My Friends Are Dead,Marcus Dunstan,"Jade Pettyjohn, JoJo Siwa, Jennifer Ens, Ali Fumiko Whitney, Michaella Russell",United States of America,2024-08-29,2024,6.0,"Horror, Thriller",en,"A group of college friends rent an Airbnb for the biggest music festival of the year. But their weekend of partying quickly takes a turn, as the group is murdered one by one, in correspondence with the seven deadly sins.",20.192,28,6.0
mv614696,Movie,#Alive,Cho Il,"Yoo Ah-in, Park Shin-hye, Lee Hyun-wook, Jin So-yeon, Kim Hak-seon",South Korea,2020-06-24,2020,7.234,"Action, Horror",ko,"As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.",29.596,1859,7.234
tv158475,TV Show,#BOOS,,Tim Hofman,Netherlands,2016-06-16,2016,0.0,"Talk, News, Documentary",nl,,108.84,0,0.0
mv714567,Movie,#Blue_Whale,Anna Zaytseva,"Anna Potebnya, Timofey Eletskiy, Ekaterina Stulova, Diana Shulmina, Olga Pipchenko",Russia,2024-01-11,2024,6.3,"Thriller, Horror, Drama",ru,"Rebellious schoolgirl Dana grieves for her younger sister, a once-happy kid who suddenly stepped in front of a train. Desperate to learn what happened, she explores her sister's online history, discovering a sinister social-media game.",36.187,79,6.3
tv98624,TV Show,#FreeRayshawn,,"Stephan James, Laurence Fishburne, Jasmine Cephas Jones, Skeet Ulrich, Annabeth Gish",United States of America,2020-04-13,2020,7.2,"Drama, Crime",en,"Iraq war veteran Rayshawn takes shelter in his apartment building after being set up by New Orleans police on a drug deal. Amid a police standoff and growing media frenzy, a sympathetic cop tries to convince him to surrender.",34.092,13,7.2
mv301325,Movie,#Horror,Tara Subkoff,"Chloë Sevigny, Timothy Hutton, Natasha Lyonne, Balthazar Getty, Taryn Manning",United States of America,2015-11-20,2015,3.591,"Crime, Horror, Thriller",en,"Inspired by actual events, a group of 12 year old girls face a night of horror when the compulsive addiction of an online social media game turns a moment of cyber bullying into a night of insanity.",8.98,187,3.591
